n,time
2,2.20428e-06
4,4.06994e-06
8,6.23511e-06
16,1.15406e-05
32,1.88116e-05
64,3.57636e-05
128,9.40552e-05
256,0.00018097
512,0.000215855
1024,0.000405527
2048,0.00104571
4096,0.00181112
8192,0.00347101
16384,0.00661395
32768,0.0129238
65536,0.0272333
131072,0.0539379
262144,0.111133
